strategy,capacity_rate,review_queue_size,review_rate,review_precision,risk_capture_recall,risk_review_f1,exposure_weighted_recall,false_safe_rate,over_review_rate,expected_loss_proxy_capture
baseline_pd_threshold,0.05,520,0.052,1.0,0.9437386569872959,0.9710550887021475,0.8265809800516278,0.056261343012704176,0.0,961107.2066310071
residual_corrected_threshold,0.05,520,0.052,1.0,0.9437386569872959,0.9710550887021475,0.8265809800516278,0.056261343012704176,0.0,961107.2066310071
inflated_risk_boundary,0.05,520,0.052,1.0,0.9437386569872959,0.9710550887021475,0.8265809800516278,0.056261343012704176,0.0,961107.2066310071
asymmetric_risk_boundary_correction,0.05,500,0.05,1.0,0.9074410163339383,0.9514747859181732,0.8139149213715495,0.0925589836660617,0.0,946481.1120767122
stress_weighted_review_queue,0.05,524,0.0524,1.0,0.9509981851179673,0.9748837209302325,0.8486220209562106,0.04900181488203267,0.0,984361.4930305146
baseline_pd_threshold,0.1,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
residual_corrected_threshold,0.1,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
inflated_risk_boundary,0.1,3485,0.3485,0.157532281205165,0.9963702359346642,0.2720515361744301,0.9905596605100107,0.003629764065335753,0.842467718794835,1324786.116802929
asymmetric_risk_boundary_correction,0.1,1000,0.1,0.548,0.9945553539019963,0.706640876853643,0.9715896758240848,0.0054446460980036296,0.452,1298141.5079738623
stress_weighted_review_queue,0.1,1000,0.1,0.542,0.9836660617059891,0.6989039329464861,0.941305911367113,0.016333938294010888,0.458,1140364.0454930668
baseline_pd_threshold,0.15,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
residual_corrected_threshold,0.15,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
inflated_risk_boundary,0.15,3485,0.3485,0.157532281205165,0.9963702359346642,0.2720515361744301,0.9905596605100107,0.003629764065335753,0.842467718794835,1324786.116802929
asymmetric_risk_boundary_correction,0.15,1500,0.15,0.36533333333333334,0.9945553539019963,0.5343734763529985,0.9715896758240851,0.0054446460980036296,0.6346666666666667,1301397.9103868445
stress_weighted_review_queue,0.15,1582,0.1582,0.3463969658659924,0.9945553539019963,0.5138302859821847,0.9762757731758851,0.0054446460980036296,0.6536030341340076,1267620.1005923157
baseline_pd_threshold,0.2,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
residual_corrected_threshold,0.2,2552,0.2552,0.21473354231974923,0.9945553539019963,0.353206574282952,0.9715896758240848,0.0054446460980036296,0.7852664576802508,1308069.1959735772
inflated_risk_boundary,0.2,3485,0.3485,0.157532281205165,0.9963702359346642,0.2720515361744301,0.9905596605100107,0.003629764065335753,0.842467718794835,1324786.116802929
asymmetric_risk_boundary_correction,0.2,2000,0.2,0.274,0.9945553539019963,0.4296354370834968,0.9715896758240848,0.0054446460980036296,0.726,1304481.7631141604
stress_weighted_review_queue,0.2,2046,0.2046,0.26832844574780057,0.9963702359346642,0.4227955333076626,0.9905596605100107,0.003629764065335753,0.7316715542521994,1313664.8119972846
baseline_pd_threshold,0.3,5011,0.5011,0.10955897026541608,0.9963702359346642,0.19741100323624597,0.9771498104550426,0.003629764065335753,0.8904410297345839,1328393.9283402285
residual_corrected_threshold,0.3,5011,0.5011,0.10955897026541608,0.9963702359346642,0.19741100323624597,0.9771498104550426,0.003629764065335753,0.8904410297345839,1328393.9283402285
inflated_risk_boundary,0.3,5458,0.5458,0.10076951264199341,0.9981851179673321,0.18305874521551005,0.9961197951409682,0.0018148820326678765,0.8992304873580066,1338907.9369392549
asymmetric_risk_boundary_correction,0.3,3000,0.3,0.18266666666666667,0.9945553539019963,0.30864545198535626,0.9715896758240848,0.0054446460980036296,0.8173333333333334,1311928.6134710745
stress_weighted_review_queue,0.3,3069,0.3069,0.17888563049853373,0.9963702359346642,0.3033149171270718,0.9905596605100107,0.003629764065335753,0.8211143695014663,1326296.6265552216
